price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
12.000TL,samsun cani̇k kuzey yildizi mahallesi̇'nde toki̇de si̇te i̇çi̇nde 2+1 ki̇ralik dai̇re,90 M2,2+1,11,4.Kat,Merkezi (Pay Ölçer),Boş,100 M2,11-15,,Evet,,
17.500TL,my akdeni̇z' den çobanli tramvay durağinda eşyali ki̇ralik 3+1 geni̇ş dai̇re,130 M2,3+1,5,1.Kat,Kombi Doğalgaz,,145 M2,5-10,,Evet,,
14.000TL,beş yildiz emlaktan 1+1 dai̇re,50 M2,1+1,5,2.Kat,Kombi Doğalgaz,,60 M2,0 (Yeni),,Hayır,,
12.000TL,akdur dan tekkeköy de ki̇ralik 3+1,130 M2,3+1,7,Yüksek Giriş,Kombi Doğalgaz,Boş,135 M2,21 Ve Üzeri,,Hayır,,
23.000TL,suitline dan atakum istiklalde 2+1 lüks kiralık daire,110 M2,2+1,8,2.Kat,Kombi Doğalgaz,Boş,125 M2,0 (Yeni),,Hayır,,
23.000TL,atasoy gyo’dan 2+1 ki̇ralik dai̇re,90 M2,2+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,,100 M2,11-15,,Hayır,,
9.000TL,a.y.s. gayri̇menkul ' dan 3+1 ki̇ralik dai̇re,130 M2,3+1,4,Yüksek Giriş,Kombi Doğalgaz,,135 M2,16-20,,Hayır,,
12.000TL,çamlicadan mevlana mahallesi̇nde 3+1 ki̇ralik dai̇re,125 M2,3+1,7,1.Kat,Kombi Doğalgaz,Boş,155 M2,5-10,,Hayır,,
9.000TL,kahveci̇oğlu emlak'tan gençli̇k cad.ki̇ralik 3+1 dai̇re,120 M2,3+1,4,4.Kat,Kombi Doğalgaz,,130 M2,21 Ve Üzeri,,Hayır,,
47.500TL,"56'lar, adli̇ye yakini, ara kat, asansörlü deni̇z manzarali 135 m2 3+1 dai̇re",130 M2,3+1,7,6.Kat,Kombi Doğalgaz,,135 M2,21 Ve Üzeri,,Hayır,,
12.000TL,as yapidan ni̇şantaşi konaklarinda si̇te i̇çi̇ deni̇z manzarali 3+1,140 M2,3+1,8,8.Kat,Kombi Doğalgaz,Boş,150 M2,5-10,,Evet,,
13.000TL,"56'lar, adli̇ye yakini, asansörlü, deni̇z manzarali 100 m2, 2+1 temi̇z dai̇re",95 M2,2+1,7,7.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,,
11.000TL,samsun atakum körfezde yerden isitmali 1+1 ki̇ralik sifir dai̇re,50 M2,1+1,5,1.Kat,Kombi Doğalgaz,Boş,60 M2,1,,Hayır,,
10.500TL,truvadan yeni̇mahalle de tramvaya çok yakin ki̇ralik 2+1,85 M2,2+1,5,Kot 3 (-3).Kat,Kombi Doğalgaz,,90 M2,4,,Hayır,,
