price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
12.500TL,19 mayis bulvarinda 3+1 ara kat ki̇ralik dai̇re,130 M2,3+1,7,4.Kat,Kombi Doğalgaz,,155 M2,11-15,250 TL,Hayır,,
10.000TL,hi̇sar’dan kadiköy de 3+1 ki̇ralik dai̇re,120 M2,3+1,5,4.Kat,Kombi Doğalgaz,,130 M2,16-20,,Hayır,,
12.000TL,sahibinden 4+2 dubleks eşyalı,190 M2,4+2,3,3.Kat,Kombi Doğalgaz,Eşyalı,240 M2,11-15,60 TL,Hayır,3,
19.999TL,berre gayri̇menkul'den ulugazi̇ mahallesi̇ şehi̇r merkezi̇nde 3+1,145 M2,3+1,5,1.Kat,Kombi Doğalgaz,,160 M2,21 Ve Üzeri,,Hayır,,
10.500TL,truvadan ki̇ralik deni̇z manzarali 2+1 sifir dai̇re,75 M2,2+1,6,3.Kat,Kombi Doğalgaz,,85 M2,0 (Yeni),,Hayır,,
10.500TL,atakum eşyalı kiralık 1+1,50 M2,1+1,4,Yüksek Giriş,Kombi Doğalgaz,Eşyalı,58 M2,0 (Yeni),,Hayır,1,
8.500TLarrow_downward%15,atakum kiralık eşyalı 1+1,48 M2,1+1,6,5.Kat,Kombi Doğalgaz,Eşyalı,55 M2,4,,Hayır,1,
25.000TL,atatepede öğrenci̇ye uygun sifir bi̇nada geni̇ş 1+1 gi̇ri̇ş kat dai̇re,60 M2,1+1,9,Düz Giriş (Zemin),Kombi Doğalgaz,Boş,70 M2,1,,Hayır,,
13.000TL,evi̇m-nur'dan unkapani mh 2+1 ki̇ralik dai̇re,110 M2,2+1,5,1.Kat,Kombi Doğalgaz,Boş,120 M2,16-20,100 TL,Hayır,1,
15.000TL,revi̇zyon süleyman karadaş'tan körfez de ki̇ralik 1+1 dai̇re,42 M2,1+1,4,2.Kat,Kombi Doğalgaz,Boş,45 M2,0 (Yeni),,Hayır,,
5.500TL,atakent'de samsun si̇nop yoluna 1 sokak éşyali kiralik 1+1,50 M2,1+1,5,Yüksek Giriş,Kombi Doğalgaz,Eşyalı,52 M2,4,,Hayır,,
6.000TL,mevlana mahallesi̇nde eşyali ki̇ralik 1+1 dai̇re,45 M2,1+1,3,Yüksek Giriş,Kombi Doğalgaz,Eşyalı,50 M2,0 (Yeni),,Hayır,,
15.000TL,ertaştan ki̇ralik 1+1 pelitköy tranvay durağina cephe,50 M2,1+1,5,3.Kat,Kombi Doğalgaz,Boş,55 M2,0 (Yeni),,Hayır,,
9.500TL,ömürevleri̇ lozan cd 1 alt sokaği kiralik 2+1 dai̇re,97 M2,2+1,5,2.Kat,Kombi Doğalgaz,Boş,110 M2,16-20,,Hayır,,
25.000TL,ertaş'tan pamuklu bulvarina cephe si̇te i̇çeri̇si̇nde geni̇ş 1+1,55 M2,1+1,5,1.Kat,Kombi Doğalgaz,Boş,65 M2,1,,Hayır,,
12.500TL,truva'dan peki̇tköy toki'de deni̇z manzarali asansörlü 3+1,120 M2,3+1,14,6.Kat,Merkezi Doğalgaz,,135 M2,16-20,,Evet,,
10.000TL,körfez'de tramvaya cephe ki̇ralik eşyali 1+1 dai̇re,55 M2,1+1,5,5.Kat,Kombi Doğalgaz,Eşyalı,65 M2,5-10,,Hayır,,
14.000TL,samsun i̇lkadim selahi̇ye mahallesi̇nde bulvara yürüme mesafesi̇nde ara kat 3+1 ki̇ralik dai̇re,120 M2,3+1,5,3.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
13.500TL,sahibinden sahi̇bi̇nden gazi̇ hastanesi̇ne 10 daki̇ka mesafede ki̇ralik dai̇re,80 M2,2+1,5,Yüksek Giriş,Kombi Doğalgaz,,85 M2,5-10,,Hayır,,
6.000TL,revi̇zyon'dan delüx hi̇ll si̇tesi̇ deni̇z manzarali lüx ki̇ralik dai̇re,210 M2,4+1,20,7.Kat,Merkezi (Pay Ölçer),Boş,245 M2,2,1500 TL,Hayır,,
9.000TLarrow_downward%18,akdur'dan ki̇ralik dubleks,180 M2,5+1,4,4.Kat,Kombi Doğalgaz,,190 M2,11-15,150 TL,Hayır,,
8.000TL,i̇lkadim bulvar üzeri̇nde eşyali ki̇ralik dai̇re,115 M2,3+1,8,3.Kat,Kombi Doğalgaz,Eşyalı,125 M2,21 Ve Üzeri,,Hayır,1,
10.000TL,moon tower si̇tesi̇ panorami̇k deni̇z atakum manzarali 3+1 dai̇re,175 M2,3+1,30,22.Kat,Merkezi (Pay Ölçer),,210 M2,4,,Evet,,
10.000TL,samsun i̇lkadim kiliçdede mahallesi̇'nde asansörlü mükemmel lokasyonda 3+1 ki̇ralik dai̇re,125 M2,3+1,6,2.Kat,Kombi Doğalgaz,Boş,135 M2,21 Ve Üzeri,,Hayır,,
7.000TL,atakum esenevleri̇nde ki̇ralik 2+1 dai̇re akgün kurumsaldan,80 M2,2+1,5,1.Kat,Kombi Doğalgaz,Boş,90 M2,21 Ve Üzeri,,Hayır,,
10.000TL,furkan emlak'tan unkapani mah.3+1 1.kat 120m2 doğalgazli ki̇ralik dai̇re,120 M2,3+1,5,1.Kat,Kombi Doğalgaz,Boş,135 M2,21 Ve Üzeri,100 TL,Hayır,1,
7.000TL,m.can emlaktan ki̇ralik dai̇re,80 M2,2+1,5,Yüksek Giriş,Kombi Doğalgaz,,90 M2,21 Ve Üzeri,,Hayır,,
10.000TL,truvadan mi̇marsi̇nan'da hastaneye yakin lüks eşyasiz 1+1 dai̇re,55 M2,1+1,3,Yüksek Giriş,Kombi Doğalgaz,,60 M2,2,,Hayır,,
11.000TL,samsun i̇lkadim kalkanci mahallesi̇nde çi̇ft balkonlu masrafsiz temi̇z 3+1 ki̇ralik dai̇re,145 M2,3+1,4,4.Kat,Kombi Doğalgaz,Boş,155 M2,5-10,,Hayır,,
8.000TLarrow_downward%6,✔️gençbay emlaktan zafer mahallesi̇nde 2+1 3.kat asansörlü merkezi̇ konumda temi̇z ki̇ralik dai̇re,90 M2,2.5+1,5,4.Kat,Kombi Fueloil,,100 M2,16-20,150 TL,Hayır,,
7.000TL,mi̇a'dan i̇lkadim fevzi̇ çakmak'ta ki̇ralik 2+1 dai̇re,100 M2,2+1,4,1.Kat,Kombi Doğalgaz,Boş,110 M2,21 Ve Üzeri,100 TL,Hayır,2,
33.000TL,atakum kiralık 2+1,95 M2,2+1,5,2.Kat,Kombi Doğalgaz,Boş,110 M2,16-20,,Hayır,2,
14.000TL,hürri̇yet mahallesi̇nde 2+1 eşyali ki̇ralik dai̇re,90 M2,2+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,,100 M2,21 Ve Üzeri,100 TL,Hayır,,
14.000TL,çi̇ftlk caddesi̇ yakininda ki̇ralik 3+1 dai̇re,110 M2,3+1,4,1.Kat,Kombi Doğalgaz,,120 M2,21 Ve Üzeri,,Hayır,,
25.000TL,gazi̇ caddesi̇ yakininda ki̇ralik 2+1 dai̇re,120 M2,2+1,4,1.Kat,Kombi Doğalgaz,,140 M2,21 Ve Üzeri,,Hayır,,
13.000TLarrow_downward%13,cani̇k beledi̇yevleri̇nde uygun fi̇yatli ki̇ralik 3+1 dai̇re,120 M2,3+1,6,3.Kat,Kombi Doğalgaz,,130 M2,16-20,,Hayır,,
12.000TL,esenevlerde 2+1 ki̇ralik dai̇re,100 M2,2+1,5,1.Kat,Kombi Doğalgaz,,115 M2,4,,Hayır,,
9.000TLarrow_downward%9,atakum balac esyali̇ 1+1 dai̇re,55 M2,1+1,5,3.Kat,Kombi Doğalgaz,Eşyalı,65 M2,4,,Hayır,1,
7.000TL,avantaj gayri̇menkul'den i̇lkadim'da eşyali 2+1 dai̇re,75 M2,2+1,2,2.Kat,Kombi Doğalgaz,,85 M2,21 Ve Üzeri,,Hayır,,
10.000TL,as yapidan ömürevleri̇ cağaloğluna 1 daki̇ka eşyali 2+1,90 M2,2+1,5,1.Kat,Kombi Doğalgaz,Eşyalı,95 M2,5-10,,Hayır,,
14.000TL,avantaj gayri̇menkul'den cani̇k'te ki̇ralik 2+1 dai̇re,90 M2,2+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,,100 M2,3,,Hayır,,
8.000TLarrow_downward%6,"shell yakini, mevki̇ noktada, asansörlü, lüks 2+1 dai̇re",85 M2,2+1,7,5.Kat,Kombi Doğalgaz,,90 M2,21 Ve Üzeri,,Hayır,,
7.000TL,"56'lar, adli̇ye yakini, çi̇ft balkonlu, ara kat, 90 m2, 2+1 temi̇z dai̇re",90 M2,2+1,4,3.Kat,Kombi Doğalgaz,,95 M2,21 Ve Üzeri,,Hayır,,
14.500TL,"shell yakini, mevki̇ noktada, asansörlü, lüks 2+1 dai̇re",85 M2,2+1,7,5.Kat,Kombi Doğalgaz,,90 M2,21 Ve Üzeri,,Hayır,,
8.000TL,"56'lar, adli̇ye yakini, çi̇ft balkonlu, ara kat, 90 m2, 2+1 temi̇z dai̇re",90 M2,2+1,4,3.Kat,Kombi Doğalgaz,,95 M2,21 Ve Üzeri,,Hayır,,
9.000TL,kiralık daire,125 M2,3+1,4,1.Kat,Kombi Doğalgaz,,135 M2,21 Ve Üzeri,,Hayır,,
9.000TL,truva'dan zi̇raat bankasi arkasi salon mutfak ayri ara kat 2+1,80 M2,1+1,4,1.Kat,Kombi Doğalgaz,,100 M2,16-20,,Hayır,,
8.000TL,kahveci̇oğlu emlak'tan gençli̇k cad.ki̇ralik 2+1 dai̇re,90 M2,2+1,5,4.Kat,Kombi Doğalgaz,,105 M2,21 Ve Üzeri,,Hayır,,
13.500TL,emre köse’den dereköy’de aylik veya yillik ki̇ralik deni̇ze sifir eşyali yazlik,100 M2,3+1,2,2.Kat,Güneş Enerjisi,Eşyalı,130 M2,21 Ve Üzeri,0 TL,Hayır,1,
10.000TL,yayla gayri̇menkulden i̇lkadim i̇stasyon da ki̇ralik 3+1 merkezî konumda full furni̇shed for rent,115 M2,3+1,4,2.Kat,Kombi Doğalgaz,Eşyalı,125 M2,21 Ve Üzeri,100 TL,Hayır,,
6.250TL,"alan emlak; yeni mah. tramv. yakınında, ara kat, eşyalı daire",55 M2,1+1,8,7.Kat,Kombi Doğalgaz,Eşyalı,60 M2,5-10,,Hayır,,
14.500TLarrow_downward%6,truva'dan körfezde ara kat eşyasiz asansörlü 1+1 dai̇re,55 M2,1+1,6,4.Kat,Kombi Doğalgaz,,60 M2,3,,Hayır,,
9.000TL,samsun i̇lkadim kadi̇fekale mah 2+1 1.kat 2 balkon 90m2 ki̇ralik dai̇re,90 M2,2+1,6,1.Kat,Kombi Doğalgaz,Boş,105 M2,0 (Yeni),,Hayır,2,
15.000TL,samsun i̇lkadim 19 mayis mahallesi̇nde sifir yapili mükemmel lokasyonda 2+1 ki̇ralik dai̇re,120 M2,2+1,4,1.Kat,Kombi Doğalgaz,Boş,140 M2,21 Ve Üzeri,,Hayır,,
8.000TL,uygun atakum mi̇marsi̇nan mah. bankalar yedaş ve carrefour yani ki̇ralik 2. kat 2+1,90 M2,2+1,4,2.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,,
11.000TL,hi̇sar'dan kadiköyde eşyali ki̇ralik,90 M2,2+1,3,1.Kat,Kombi Doğalgaz,Eşyalı,110 M2,21 Ve Üzeri,,Hayır,,
7.000TL,sahi̇lde full eşyali 3+1 sezonluk ki̇ralik dai̇re,180 M2,3+2,4,4.Kat,Isıtma Yok,Eşyalı,220 M2,21 Ve Üzeri,,Hayır,2,
90.000TL,100. yil bulvarina cephe 2+1 doğalgazli dai̇re,95 M2,2+1,4,1.Kat,Kombi Doğalgaz,Boş,100 M2,21 Ve Üzeri,,Hayır,,
10.000TL,bahçeli̇evlerde ki̇ralik 3+1 dai̇re yüksek gi̇ri̇ş kat,120 M2,3+1,7,Yüksek Giriş,Kombi Doğalgaz,Boş,125 M2,21 Ve Üzeri,,Hayır,,
12.750TL,i̇lkadim adalet mahallesi̇nde uygun 3+1 ki̇ralik dai̇re,125 M2,3+1,5,3.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
6.000TL,i̇lkadim bahçeli̇evlerde ki̇ralik dubleks dai̇re 2+1,110 M2,2+1,9,5.Kat,Kombi Doğalgaz,Boş,115 M2,21 Ve Üzeri,,Hayır,,
10.000TL,i̇lkadim bahçeli̇evlerde ki̇ralik 2+1 80 m2 ki̇ralik dai̇re,79 M2,2+1,5,2.Kat,Kombi Doğalgaz,Boş,80 M2,21 Ve Üzeri,,Hayır,,
9.000TL,samsun i̇lkadim kiliçdede mh de 3+1 ki̇ralik dai̇re,125 M2,3+1,4,2.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
11.000TL,adalet mh de zübeyde hanim parkina yakin 3+1 ki̇ralik dai̇re,125 M2,3+1,5,2.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
7.750TL,atakum i̇sti̇klal mh.afad yani ki̇ralik 1+1 dai̇re,50 M2,1+1,4,2.Kat,Yerden Isıtma,Boş,55 M2,0 (Yeni),,Hayır,,
20.000TL,atakum deni̇ze sifir eşyali ki̇ralik 1+1 dai̇re,55 M2,1+1,3,3.Kat,Merkezi (Pay Ölçer),Eşyalı,60 M2,11-15,,Hayır,,
9.000TL,ataşehi̇r'den tramvaya yakin ful eşyali ara kat 1+1 eşyali dai̇re,50 M2,1+1,5,2.Kat,Kombi Doğalgaz,Eşyalı,55 M2,1,,Hayır,,
7.500TL,toraman gym'den bulvara cephe eşyali kiralik dai̇re,50 M2,1+1,4,4.Kat,Kombi Doğalgaz,Eşyalı,55 M2,0 (Yeni),,Hayır,,
7.500TL,tramvay durağina yakin ki̇ralik 1+1 dai̇re,50 M2,1+1,5,3.Kat,Kombi Doğalgaz,Boş,55 M2,0 (Yeni),,Hayır,,
10.000TL,avantaj gayri̇menkul'den i̇lkadim'da ki̇ralik 2+1 dai̇re,90 M2,2+1,5,5.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,,
6.000TL,samsun i̇lkadim hürri̇yet mahallesi̇nde doğalgazli merkezi̇ konumda 3+1 ki̇ralik dai̇re,110 M2,3+1,4,4.Kat,Kombi Doğalgaz,Boş,120 M2,21 Ve Üzeri,,Hayır,,
12.000TL,atakum/mevlana mah. ki̇ralik eşyali 2+1,120 M2,2+1,5,5.Kat,Merkezi Doğalgaz,Eşyalı,125 M2,21 Ve Üzeri,100 TL,Hayır,1,
10.000TL,enes emlak şefaatti̇n sağdiş'tan ki̇ralik 2+1 dai̇re,85 M2,2+0,5,Düz Giriş (Zemin),Kombi Doğalgaz,Boş,95 M2,0 (Yeni),,Hayır,,
9.000TL,sahibinden atakumgokdelenkule kiralık daire,187 M2,3.5+1,30,11.Kat,Merkezi (Pay Ölçer),Boş,217 M2,5-10,2250 TL,Evet,2,
21.000TL,revi̇zyon i̇şçi̇men'den ki̇ralik 1+1 dai̇re,45 M2,1+1,5,4.Kat,Kombi Doğalgaz,,55 M2,0 (Yeni),,Hayır,,
10.500TL,tramvaya yakin bahçeli̇ ki̇ralik dai̇re,110 M2,2+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,Boş,120 M2,21 Ve Üzeri,,Hayır,,
10.000TL,*yayla gyd'den atakum bornova cad. kiralik 3+1 lüks daire,140 M2,3+1,3,1.Kat,Kombi Doğalgaz,Boş,145 M2,5-10,,Hayır,,
8.000TL,korkmaz emlaktan i̇shakli mahallesi̇nde full yapili 3+1 ki̇ralik dai̇re,120 M2,3+1,4,4.Kat,Kombi Doğalgaz,Boş,125 M2,21 Ve Üzeri,100 TL,Hayır,2,
7.500TL,uygun full eşyali atakum mevlana mah. osmanli hamami yani 1. kat 2+1 kamera güvenli̇k si̇st,75 M2,2+1,5,2.Kat,Kombi Doğalgaz,Eşyalı,90 M2,21 Ve Üzeri,50 TL,Hayır,,
10.000TL,"uygun, atakum türki̇ş medi̇kalpark arkasinda 2 oda 1 mutfak wc banyo bahçe kati",70 M2,1+1,3,Bahçe Katı,Kombi Doğalgaz,,80 M2,11-15,100 TL,Hayır,,
10.000TL,samsun i̇lkadim unkapani mahallesi̇nde doğalgazli 3+1 ki̇ralik dai̇re,105 M2,3+1,3,3.Kat,Kombi Doğalgaz,Boş,115 M2,21 Ve Üzeri,,Hayır,,
10.500TL,eşyali ki̇ralik 3+1 güzel sanatlar fakültesi̇ tramvaya yakin kalkancida,100 M2,3+1,2,1.Kat,Kombi Doğalgaz,Eşyalı,110 M2,16-20,50 TL,Hayır,,
34.000TL,gençbay emlak'tan kadiköy mah 1.kat 2+1 ful eşyali ki̇ralik temi̇z dai̇re,90 M2,2+1,3,1.Kat,Kombi Doğalgaz,Eşyalı,100 M2,21 Ve Üzeri,50 TL,Hayır,1,
10.000TL,atakum yeni̇mahalle i̇hlas evleri̇ si̇tesi̇nde ki̇ralik 3+1 dai̇re,125 M2,3+1,9,Düz Giriş (Zemin),Merkezi (Pay Ölçer),Boş,135 M2,5-10,,Evet,,
10.000TL,i̇lkadim 100. yilin bulvarina cephe full eşyali ki̇ralik dai̇re,100 M2,2+1,10,8.Kat,Kombi Doğalgaz,,125 M2,16-20,,Hayır,,
20.000TL,samsun i̇lkadim zeyti̇nli̇k mahallesi̇'nde diş cepheli̇ doğalgazli 3+1 ki̇ralik dai̇re,115 M2,3+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,Boş,125 M2,21 Ve Üzeri,,Hayır,,
10.000TL,samsun i̇lkadim karadeni̇z mahallesi̇nde mükemmel lokasyonda 2+1 ki̇ralik dai̇re,80 M2,2+1,5,2.Kat,Kombi Doğalgaz,Boş,90 M2,21 Ve Üzeri,,Hayır,,
14.500TL,samsun atakum turkiş re günlük kiralık 1+1mutfaklı geniş daire,65 M2,1+1,2,2.Kat,Kombi Doğalgaz,,75 M2,4,,Hayır,,
5.000TL,sahibinden fener tramvay durağina 100 metre,105 M2,2.5+1,5,2.Kat,Kombi Doğalgaz,,120 M2,21 Ve Üzeri,100 TL,Hayır,3,
10.000TL,"alan emlak; lozan caddesinde, ara kat, boş daire, asansörlü",100 M2,2+1,4,Yüksek Giriş,Kombi Doğalgaz,Boş,110 M2,21 Ve Üzeri,,Hayır,,
7.750TL,anadolu'dan samsun atakum yenimahalle'de kiralık dubleks daire,160 M2,5+1,7,6.Kat,Kombi Doğalgaz,Boş,185 M2,11-15,,Hayır,,
12.000TL,samsun atakum esenevler eşyali ki̇ralik 1+1 dai̇re,50 M2,1+1,3,1.Kat,Kombi Doğalgaz,Eşyalı,60 M2,4,,Hayır,,
9.500TL,samsun i̇lkadim kadiköy mahallesi̇nde doğalgazli ara kat merkezi̇ konumda 3+1 ki̇ralik dai̇re,150 M2,3+1,5,3.Kat,Kombi Doğalgaz,Boş,170 M2,21 Ve Üzeri,,Hayır,,
7.500TL,samsun atakum körfezde yerden isitmali 1+1 ki̇ralik sifir dai̇re,45 M2,1+1,3,2.Kat,Yerden Isıtma,Boş,55 M2,1,,Hayır,,
9.500TL,samsun atakum esenevlerde aboneli̇kleri̇ açik mükemmel lokasyonda 2+1 eşyali ki̇ralik dai̇re,75 M2,2+1,4,4.Kat,Kombi Doğalgaz,Eşyalı,115 M2,16-20,,Hayır,,
300TL,köprü grup'tan merkezi̇ konumda ki̇ralik 2+1 dai̇re,100 M2,2+1,5,4.Kat,Kombi Doğalgaz,Boş,120 M2,16-20,,Hayır,,
9.000TL,körfezde full deniz manzaralı tramvaya çok yakın 1+1 kiralıklar,50 M2,1+1,5,4.Kat,Kombi Doğalgaz,Eşyalı,60 M2,0 (Yeni),,Hayır,,
10.500TLarrow_downward%25,revi̇zyon mari̇na'dan atakum rezi̇dans'ta eşyali ki̇ralik 2+1 dai̇re,80 M2,2+1,15,9.Kat,Merkezi Doğalgaz,Eşyalı,90 M2,11-15,1180 TL,Hayır,,
15.000TL,✅️gençbay emlak'tan adalet mah 3.kat 3+1 üç balkonlu merkezi̇ konumda boş ki̇ralik firsat dai̇re,125 M2,3+1,4,3.Kat,Kombi Doğalgaz,Boş,140 M2,11-15,,Hayır,3,
13.000TL,tekkeköy 19 mayis ta ki̇ralik 3+1,135 M2,3+1,5,Yüksek Giriş,Kombi Doğalgaz,Boş,138 M2,21 Ve Üzeri,50 TL,Hayır,2,
9.000TL,sahibinden mert emlak kiralık daire,120 M2,2+1,5,3.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,2,
8.000TL,i̇lkadim kuşçulu mahallesi̇nde müstaki̇l ki̇ralik ev,95 M2,2+1,1,Düz Giriş (Zemin),Doğalgaz Sobalı,,100 M2,21 Ve Üzeri,,Hayır,,
12.000TL,görgülü emlak'tan ki̇ralik doğalgazli dai̇re,115 M2,2+1,4,1.Kat,Doğalgaz Sobalı,,130 M2,11-15,,Hayır,,
11.500TL,kahveci̇oğlu emlak'tan hacinabi̇ mah.ki̇ralik eşyali 2+1 dai̇re,90 M2,2+1,3,2.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,,
11.000TL,💥yayla gyd'den atakum mevlân mah. kiralik 3+1 lüks daire,140 M2,3+1,4,1.Kat,Kombi Doğalgaz,Boş,145 M2,5-10,300 TL,Hayır,2,
12.000TL,adalet mahallesi̇nde 3+1 ki̇ralik dai̇re,125 M2,3+1,5,2.Kat,Kombi Doğalgaz,,130 M2,21 Ve Üzeri,50 TL,Hayır,,
14.500TL,samsun atakum körfez'de deniz doğa manzaralı kiralık 3+1 daire,150 M2,3+1,4,3.Kat,Kombi Doğalgaz,,160 M2,4,,Hayır,,
7.500TLarrow_downward%6,bahçeli̇evler mahallesi̇nde 2+1 ki̇ralik dai̇re,80 M2,2+1,5,2.Kat,Kombi Doğalgaz,,90 M2,21 Ve Üzeri,250 TL,Hayır,,
8.000TL,adalet mahallesi̇nde ki̇ralik 3+1 dai̇re,125 M2,3+1,5,3.Kat,Kombi Doğalgaz,,130 M2,21 Ve Üzeri,100 TL,Hayır,3,
5.000TL,100.yil bulvari ki̇li̇se kavşaği ki̇ralik dai̇re,120 M2,3+1,8,7.Kat,Merkezi Doğalgaz,,135 M2,21 Ve Üzeri,,Hayır,,
7.750TL,i̇lyasköyde i̇çi̇ yapili 3+1 ki̇ralik dai̇re,125 M2,3+1,4,4.Kat,Kombi Doğalgaz,,140 M2,21 Ve Üzeri,,Hayır,,
7.500TL,referansdan muhteşem lokasyonda eşyalı kiralık 1+1 daire,50 M2,1+1,2,2.Kat,Kombi Doğalgaz,Eşyalı,55 M2,1,,Hayır,,
18.000TL,atakum yeşi̇ldere mah.de deni̇zi̇ gören 2+1 ki̇ralik dai̇re,110 M2,2+1,4,3.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
10.000TL,köprü grup'tan si̇te i̇çeri̇si̇nde ki̇ralik sifir eşyali 1+1 dai̇re,50 M2,1+1,5,4.Kat,Kombi Doğalgaz,Eşyalı,55 M2,0 (Yeni),,Hayır,,
18.000TL,sahibinden ki̇ralik dai̇re,160 M2,4+1,5,5.Kat,Kombi Doğalgaz,,175 M2,21 Ve Üzeri,,Hayır,2,
6.000TL,samsun i̇lkadim karasamsun mahallesi̇nde tertemi̇z masrafsiz 3+1 ki̇ralik dai̇re,95 M2,3+1,3,3.Kat,Kombi Doğalgaz,Boş,100 M2,3,,Hayır,,
7.500TL,i̇stasyon mahallesi̇nde 3+1 ki̇ralik dai̇re,125 M2,3+1,5,4.Kat,Kombi Doğalgaz,,145 M2,21 Ve Üzeri,100 TL,Hayır,,
15.000TL,atakum türki̇şde ki̇ralik 3+1 dai̇re,125 M2,3+1,6,6.Kat,Kombi Doğalgaz,,145 M2,16-20,100 TL,Hayır,,
7.500TLarrow_downward%6,bahçeli̇evler mahallesi̇nde ki̇ralik 2+1 dai̇re,100 M2,2+1,4,3.Kat,Kombi Doğalgaz,,110 M2,21 Ve Üzeri,,Hayır,,
13.000TL,çi̇ftli̇k mahallesi̇nde ki̇ralik 2+1 dai̇re,100 M2,2+1,5,1.Kat,Kombi Doğalgaz,,110 M2,21 Ve Üzeri,50 TL,Hayır,,
7.000TL,görgülü emlak'tan ki̇ralik doğalgazli dai̇re,135 M2,3+1,4,1.Kat,Kombi Doğalgaz,,150 M2,11-15,200 TL,Hayır,2,
13.500TL,"uygun, atakum türki̇ş medi̇kalpark arkasinda 2 oda 1 mutfak wc banyo bahçe kati",70 M2,2+1,4,Bahçe Katı,Kombi Doğalgaz,Boş,80 M2,5-10,,Hayır,,20 M2
13.000TL,adalet mahallesi̇nde 3+1 ki̇ralik dai̇re,110 M2,3+1,9,5.Kat,Kombi Doğalgaz,,120 M2,21 Ve Üzeri,,Hayır,,
8.000TL,atakent sahi̇lde hari̇ka konumlu 3+1 ki̇ralik eşyali dai̇re,80 M2,3+1,4,Yüksek Giriş,Kombi Doğalgaz,,100 M2,5-10,,Hayır,,
13.000TL,gülpark yaşam evleri̇ 2 si̇tesi̇nde lüks eşyali ki̇ralik dai̇re,50 M2,1+1,5,4.Kat,Kombi Doğalgaz,,55 M2,0 (Yeni),,Hayır,,
7.000TL,_karan_deni̇z manzarali bulvara cephe lüks eşyali 1+1 dai̇re,50 M2,1+1,6,5.Kat,Kombi Doğalgaz,Eşyalı,55 M2,3,,Hayır,1,
10.000TL,doğan emlak grouptan selahi̇ye mh 2+1 kod -1 ki̇ralik dai̇re,70 M2,2+1,4,Kot 1 (-1).Kat,Kombi Doğalgaz,,75 M2,5-10,,Hayır,1,
12.500TL,samsun atakum körfezde yerden isitmali mükemmel lokasyonda sifir 1+1 ki̇ralik dai̇re,45 M2,1+1,5,1.Kat,Yerden Isıtma,Boş,55 M2,1,,Hayır,,
15.000TL,_karan_körfez mahallesi̇nde eşyali ki̇ralik 1+1 dai̇re,45 M2,1+1,6,2.Kat,Kombi Doğalgaz,Eşyalı,50 M2,2,,Hayır,1,
19.500TLarrow_downward%11,ns gayri̇menkul di̇lekten korfezde kiralik 2+1 dai̇re,70 M2,2+1,5,2.Kat,Kombi Doğalgaz,Boş,85 M2,0 (Yeni),,Hayır,,
13.500TL,ns gayri̇menkul di̇lekten ki̇rali̇k 2+1 dai̇re,110 M2,3+1,5,1.Kat,Kombi Doğalgaz,Boş,125 M2,0 (Yeni),,Hayır,,
16.000TL,*yayla gyd 'den yeni adliye üstü kiralik 2+1 daire,85 M2,2+1,4,1.Kat,Kombi Doğalgaz,,100 M2,16-20,,Hayır,,
7.500TL,atasoy gyo’dan 4+1 ki̇ralik dai̇re,200 M2,4+1,16,1.Kat,Kombi Doğalgaz,,250 M2,11-15,,Evet,,
9.000TL,samsun atakum mi̇marsi̇nan mahallesi̇nde aboneli̇kleri̇ açik 3+1 eşyali ki̇ralik dai̇re,110 M2,3+1,5,Yüksek Giriş,Kombi Doğalgaz,Eşyalı,120 M2,21 Ve Üzeri,,Hayır,,
11.500TL,revi̇zyon'dan yeni̇mahalle bakon si̇tesi̇ eşyali ki̇ralik 1+1 dai̇re,60 M2,1+1,10,6.Kat,Merkezi Doğalgaz,Eşyalı,65 M2,5-10,400 TL,Hayır,,
11.000TL,bafra altinkaya mh. ki̇ralik 4+1 dai̇re,185 M2,4+1,5,2.Kat,Kombi Doğalgaz,Boş,195 M2,16-20,100 TL,Hayır,3,
12.000TL,samsun atakum türk-i̇şte mükemmel lokasyonda eşyasiz 2+1 ki̇ralik dai̇re,90 M2,2+1,4,4.Kat,Kombi Doğalgaz,Boş,100 M2,21 Ve Üzeri,,Hayır,,
8.000TL,samsun beledi̇ye evleri̇ mah. deni̇z manzarali 3.kat 3+1 asansörlü ki̇ralik firsat dai̇re,120 M2,3+1,5,3.Kat,Kombi Doğalgaz,,140 M2,16-20,,Hayır,3,
